Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CN1CCN(CC1)CC/C=C/1\c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,C23H29N3O2S2,0.23208,0.284622,0.669798,-0.3187,-0.19759,-0.19917,-0.86646,0.560295,-0.33935,0.513407,0.619761,0.783424,0.750692,0.293109,0.796969,-0.73307,-2.58E-02,-2.57E-02,-0.84067,-0.54162,-2.52E-02,-2.52E-02,-0.61605,-0.73545,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,-1.01323,-0.36345,2.725518,2.648644,2.084166,2.529585,0.443553,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,3.654948,-0.77024,0.803066,0.134694
COc1ccc2c(c1)c(CC(=O)[O-])c(n2C(=O)c1ccc(cc1)Cl)C.O.O.O.[Na+],C19H21ClNNaO7,0.185838,0.212081,1.134115,-1.23716,-0.19759,0.293415,0.206612,0.045335,-0.07976,-1.18886,0.338566,0.350332,-0.07687,0.68029,-0.42091,-0.49379,-2.58E-02,-2.57E-02,-0.84067,-0.35977,-2.52E-02,-2.52E-02,-0.61605,-0.58728,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.221081,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.58241
OP(=O)(O)O.OP(=O)(O)O.COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O.COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O.O,C48H60N4O17P2,2.981707,3.258809,4.693881,-0.87776,2.409319,3.248947,3.783523,3.089863,2.778055,0.556807,-0.92228,1.3318,-0.91654,0.93575,0.415299,-0.5237,-2.58E-02,-2.57E-02,-0.84067,-0.58798,-2.52E-02,-2.52E-02,-0.61605,-1.39704,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-2.2187,2.719385,1.438839,2.481588,1.384333,3.515983,-1.88831,-0.23795,0.280728,0.803066,1.849761
O=C1N(CCc2c1c1ccccc1n2C)Cc1nc[nH]c1C.[Cl-].[H+],C17H18ClN4O,-0.29973,-0.22317,0.979342,-0.71803,-0.71897,-0.93806,-0.50877,-0.10296,-0.62441,0.0577,0.202504,-0.71215,0.205711,0.269159,0.005871,-0.21177,-2.58E-02,-2.57E-02,0.098126,0.146557,-2.52E-02,-2.52E-02,0.223833,-0.32884,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.336025,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-1.52227,-0.73778
CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])COC(=O)C.[Na+],C16H16N5NaO7S2,0.391499,0.357163,-0.41361,-0.35864,0.497586,0.786004,-0.15108,0.131162,1.499161,-1.33112,-0.93437,-1.12343,-0.84388,-0.77264,-1.50693,0.749647,-2.58E-02,-2.57E-02,1.036924,0.217871,-2.52E-02,-2.52E-02,0.223833,0.928868,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.98769,0.518042,-0.07495,0.942589,1.384333,0.016684,0.359296,-0.23795,1.331694,0.803066,0.576906
O=[Mg],MgO,-1.66912,-1.74653,-1.18747,-0.35864,-1.06656,0.786004,-0.15108,-1.85712,-1.06913,-1.33112,-0.93437,-1.12343,-0.84388,-0.77264,-1.50693,0.749647,-2.58E-02,-2.57E-02,1.036924,0.217871,-2.52E-02,-2.52E-02,0.223833,0.928868,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.98769,0.518042,-0.07495,0.942589,1.384333,0.016684,0.359296,-0.23795,1.331694,0.803066,0.576906
O=[NH+]/C=c/1\ccccn1C.[Cl-],C7H9ClN2O,-1.04544,-1.09366,-0.25884,-1.31702,-0.89277,-1.18435,-0.50877,-1.00776,-0.84103,0.0577,-7.80E-05,-1.67492,-0.31505,-0.39344,-0.45907,0.377899,-2.58E-02,-2.57E-02,0.098126,0.528087,-2.52E-02,-2.52E-02,0.223833,0.87029,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.51771,-0.58263,-0.07495,-0.59641,-0.65233,0.016684,0.359296,-0.23795,-0.77024,-0.3596,-0.77961
CCCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1[n-]nnn1)CO)Cl.[K+],C22H22ClKN6O,0.313958,0.357163,2.217522,-0.7979,0.323792,0.047121,-0.50877,0.281868,-0.19368,-0.59331,0.79513,0.767845,0.916204,1.091421,0.363253,-0.94672,-2.58E-02,-2.57E-02,-0.84067,-0.84827,-2.52E-02,-2.52E-02,-0.61605,-1.49007,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,-0.53194,0.98634,-0.36345,2.725518,-0.37732,-0.47951,-0.39508,0.554789,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,1.965735,-0.21191
NCCC(P(=O)(O)[O-])(P(=O)(O)[O-])O.O.O.O.O.O.[Na+].[Na+],C3H19NNa2O12P2,-0.11919,-0.44079,-1.18747,2.11719,-0.37138,1.771181,2.352759,-0.85798,1.533676,-3.45052,-3.32604,-0.7433,-3.35886,-2.24952,-3.88023,3.078415,-2.55E-02,-2.49E-02,1.975722,3.123912,-2.52E-02,-2.52E-02,1.903605,2.252048,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-2.82308,1.618714,-0.07495,0.942589,1.384333,2.816123,-1.88831,-0.23795,0.280728,-0.3596,0.845819
O=C(C(c1ccccc1)(c1ccccc1)O)OC1C[N+]2(C)CCC1CC2.[Br-],C22H26BrNO3,0.178909,0.066999,0.669798,-0.23884,-0.19759,-0.69176,-0.50877,0.244238,-0.71359,-0.35822,0.76187,-0.64048,-0.62185,-0.67684,-0.39315,-0.84417,-2.58E-02,-2.57E-02,-0.84067,-0.48457,-2.52E-02,-2.52E-02,-0.61605,-0.64585,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.591868,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,0.803066,0.481293
OC(=O)/C=C/c1cccc(n1)/C(=C/CN1CCCC1)/c1ccc(cc1)C,C22H24N2O2,-0.21662,-0.00554,0.669798,-0.7979,-0.0238,-0.44547,-0.50877,0.153962,-0.63032,0.471212,-0.03031,0.702414,0.673991,0.903818,0.696347,0.108702,-2.58E-02,-2.57E-02,0.098126,0.435379,-2.52E-02,-2.52E-02,0.223833,-0.41499,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,1.878749,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,0.091305,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-1.52227,-0.3852
COc1ccccc1OCC(CN1CCN(CC1)CC(=O)Nc1c(C)cccc1C)O,C24H33N3O4,0.156236,0.357163,0.669798,-0.03918,0.67138,0.047121,-0.15108,0.530821,-0.37881,0.492912,0.302283,0.026292,0.080568,0.344999,0.436117,-0.26305,-2.58E-02,-2.57E-02,0.098126,-0.128,-2.52E-02,-2.52E-02,0.223833,-0.63207,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,0.202541,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,0.803066,-0.14617
COCc1c(c2ccc(cc2)F)c(/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)c(nc1C(C)C)C(C)C.[Na+],C26H33FNNaO5,0.410731,0.574787,0.669798,-0.03918,0.845174,0.293415,-0.15108,0.464458,-0.03559,-1.12014,0.559289,0.758498,0.528663,1.586374,0.023219,-0.59634,-2.58E-02,-2.57E-02,-0.84067,-0.65572,-2.52E-02,-2.52E-02,-0.61605,-0.69065,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.302654,-0.58263,-0.07495,0.942589,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,1.965735,0.594834
[Cl-].[NH4+],ClH4N,-1.60694,-1.74653,-1.18747,-0.03918,-1.06656,0.293415,-0.15108,-1.65044,-1.27514,-1.12014,0.559289,0.758498,0.528663,1.586374,0.023219,-0.59634,-2.58E-02,-2.57E-02,-0.84067,-0.65572,-2.52E-02,-2.52E-02,-0.61605,-0.69065,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.302654,-0.58263,-0.07495,0.942589,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,1.965735,0.594834
OCC1OC(CC1O)n1cnc(nc1=O)N,C8H12N4O4,-0.78336,-0.73095,-0.25884,0.599747,-0.71897,0.047121,0.206612,-0.89709,0.215197,0.134857,-1.09462,-1.16393,-1.32831,-1.61486,-0.9379,1.288041,-2.58E-02,-2.57E-02,1.036924,1.2127,-2.52E-02,-2.52E-02,1.063719,1.607687,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.56128,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.21788
C[N+](CCCCCCCCCC[N+](C)(C)C)(C)C.[Br-].[Br-],C16H38Br2N2,0.112634,-0.44079,-1.18747,2.11719,0.845174,-1.43064,-0.86646,0.014008,-1.27514,-0.6343,-0.45059,-1.16705,-1.70374,-1.53503,-1.28487,0.583002,-2.58E-02,-2.57E-02,1.036924,1.348196,-2.52E-02,-2.52E-02,1.903605,-0.78713,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.4315,-0.58263,-0.07495,0.942589,-0.65233,-0.68318,0.359296,-0.23795,0.280728,0.803066,-0.86925
[O-]S(=O)(=O)[O-].[NH3+][C@H]1C[C@@H]1c1ccccc1.[NH3+][C@@H]1C[C@H]1c1ccccc1,C18H24N2O4S,-0.14111,-0.07808,0.669798,-0.5583,-0.71897,-0.44547,-0.15108,-0.08554,0.461756,0.380794,-0.80738,0.010713,-2.80581,-0.14995,-0.46948,0.63855,-2.58E-02,-2.57E-02,1.036924,0.706371,-2.52E-02,-2.52E-02,1.063719,0.591181,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.62061,-0.58263,-0.83184,0.942589,1.384333,-0.68318,0.359296,-0.23795,1.331694,-0.3596,-0.34337
OCCNC(=O)c1c(I)c(NC(=O)CNC(=O)c2c(I)c(C(=O)NC)c(c(c2I)N(C(=O)C)C)I)c(c(c1I)C(=O)[O-])I.[Na+],C24H20I6N5NaO8,4.225714,1.300198,0.669798,-0.87776,1.540349,0.53971,0.921995,1.944458,1.103194,-1.19489,0.311353,0.200775,0.795097,1.714104,-0.13292,-2.37817,-2.58E-02,-2.57E-02,-1.77947,-1.05865,-2.52E-02,-2.52E-02,-1.45594,-1.90701,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-1.74038,1.618714,0.681945,2.481588,1.384333,0.716544,-1.88831,-0.23795,0.280728,0.803066,-0.06848
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C16H26O5,-0.45264,-0.36825,-1.18747,2.11719,-0.89277,-0.19917,-0.86646,-0.4598,-0.71818,0.461567,0.544171,0.487426,0.6094,-0.18189,0.574906,-0.26732,-2.58E-02,-2.57E-02,0.098126,-0.21358,-2.52E-02,-2.52E-02,-0.61605,0.704892,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.706812,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,1.688413
CCc1c(C)[nH]c2c1C(=O)C(CC2)CN1CCOCC1.[Cl-].[H+],C16H24ClN2O2,-0.38448,-0.36825,-0.41361,0.879276,-0.54518,-0.69176,-0.50877,-0.219,-0.72807,0.0577,0.244834,-0.8025,0.06442,0.624408,0.033628,-0.05794,-2.58E-02,-2.57E-02,0.098126,0.157255,-2.52E-02,-2.52E-02,0.223833,-0.01872,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.41389,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-1.52227,-0.31947
OCc1ccccc1,C7H8O,-1.34934,-1.31128,-0.25884,-1.31702,-0.89277,-1.18435,-0.50877,-1.26616,-1.03099,0.257825,-0.19056,-0.07653,0.18149,-0.18588,0.089144,0.655642,-2.58E-02,-2.57E-02,1.036924,0.877525,-2.52E-02,-2.52E-02,1.063719,0.663543,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.495463,-0.58263,1.438839,-0.59641,-0.65233,0.716544,0.359296,-0.23795,-0.77024,-0.3596,-1.68794
OC[C@H]1O[C@]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)(O)CO,C12H22O11,-0.24556,-0.22317,-1.18747,2.11719,-0.19759,1.278593,1.995068,-0.60643,1.012198,0.101101,-1.80819,-2.07997,-2.20431,-2.42115,-1.61449,1.826435,-2.58E-02,-2.57E-02,1.975722,1.590663,-2.52E-02,-2.52E-02,1.903605,2.672434,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-1.44375,1.618714,-0.07495,0.942589,1.384333,2.116264,-1.88831,-0.23795,-0.77024,-1.52227,0.875699
O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],C8H6N4O5,-0.73645,-0.65841,-0.41361,-1.39689,-0.54518,0.047121,-0.50877,-0.70579,0.181888,0.074578,-0.66527,-0.61244,-0.38771,-1.51906,-0.57357,0.933385,-2.58E-02,-2.57E-02,1.036924,0.706371,-2.52E-02,-2.52E-02,1.063719,1.032241,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.21274,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,3.433624,-0.3596,-0.43301
CC(C(=O)NCC(=O)O)S,C5H9NO3S,-1.08985,-1.1662,-1.18747,0.519882,-0.37138,-0.69176,-0.15108,-1.14975,-0.00554,0.144501,-0.56549,-0.55013,-0.65818,-1.02411,-0.4556,1.164125,-2.58E-02,-2.57E-02,1.036924,0.69924,-2.52E-02,-2.52E-02,1.063719,1.338916,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.046811,-0.58263,1.438839,-0.59641,-0.65233,0.016684,0.418443,-0.23795,0.280728,-0.3596,-1.17999
OC(=O)[C@@H]([C@H](C(=O)O)O)O.Cc1ccc(c(c1)[C@H](c1ccccc1)CCN(C(C)C)C(C)C)O,C26H37NO7,0.382637,0.574787,0.669798,-0.03918,0.67138,0.53971,0.921995,0.566783,0.396707,0.501351,-0.07567,0.605825,0.330855,1.195201,0.675528,-0.04085,-2.58E-02,-2.57E-02,0.098126,-0.1494,-2.52E-02,-2.52E-02,0.223833,-0.84571,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,2.529585,-0.23499,-0.58263,0.681945,-0.59641,1.384333,-0.68318,0.418443,-0.23795,-0.77024,0.803066,0.290066
ClC(C1Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N)Cl,C8H8Cl3N3O4S2,-0.06474,-0.44079,-0.25884,-0.87776,-0.71897,0.047121,0.206612,-0.35025,0.355553,0.076989,-0.35384,0.235048,-0.42001,-0.89238,-0.20925,0.24971,-2.58E-02,-2.57E-02,0.098126,0.217871,-2.52E-02,-2.52E-02,0.223833,0.074314,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.26094,-0.58263,-0.83184,-0.59641,1.384333,-0.68318,0.359296,-0.23795,0.280728,-0.3596,-0.15215
OC(=O)c1cccnc1,C6H5NO2,-1.27877,-1.23874,-0.25884,-1.87608,-0.89277,-0.69176,-0.50877,-1.29156,-0.66942,0.161379,-0.41431,-0.15442,-0.89636,-0.58104,-0.28906,0.83938,-2.58E-02,-2.57E-02,1.036924,0.927444,-2.52E-02,-2.52E-02,1.063719,0.942651,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.265575,-0.58263,1.438839,-0.59641,-0.65233,0.016684,2.133721,-0.23795,-0.77024,-0.3596,-1.68794
N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cl,C15H14ClN3O4S,-0.12532,-0.15062,-0.25884,-0.7979,-0.19759,-0.19917,0.206612,-0.16376,0.390672,0.225275,-1.06439,-0.42238,-0.16972,-0.76865,-0.36886,1.014571,-2.58E-02,-2.57E-02,1.036924,1.066506,-2.52E-02,-2.52E-02,1.063719,0.536049,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.85049,-0.58263,-0.83184,-0.59641,1.384333,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,0.3558
COc1ccc(cc1)n1nc(c2c1C(=O)N(CC2)c1ccc(cc1)N1CCCCC1=O)C(=O)N,C25H25N5O4,0.306887,0.574787,1.44366,-0.75796,-0.19759,-0.19917,-0.50877,0.589954,0.061566,0.494117,0.154126,0.207006,0.379298,-0.10206,0.415299,-0.39124,-2.58E-02,-2.57E-02,-0.84067,-0.22071,-2.52E-02,-2.52E-02,-0.61605,-0.55626,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,-0.36345,2.725518,2.648644,2.084166,2.529585,0.002316,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.20593
