Active Ingredient,SMILES
BACITRACIN ZINC,[Zn].CCC(C)C(N)C1=NC(CS1)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC3C=NC=N3)NC(=O)C(Cc4ccccc4)NC(=O)C(NC(=O)C(CCCN)NC2=O)C(C)CC
DIGITOXIN,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4
HISTRELIN ACETATE,O.CCNC(=O)C1CCCN1C(=O)C(CCCNC(N)=N)NC(=O)C(CC(C)C)NC(=O)C(Cc2cn(Cc3ccccc3)cn2)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6ccccc56)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8CCC(=O)N8.CC(O)=O
DACTINOMYCIN,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O
AZITHROMYCIN DIHYDRATE,O.O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CLARITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
GOSERELIN ACETATE,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NNC(N)=O.CC(O)=O
ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
ATORVASTATIN CALCIUM,[Ca++].CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4.CC(C)c5n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c6ccc(F)cc6)c(c7ccccc7)c5C(=O)Nc8ccccc8
GADOBENATE DIMEGLUMINE,[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[H+].[H+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)C(COCc1ccccc1)C([O-])=O
AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CISATRACURIUM BESYLATE,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC.[O-][S](=O)(=O)c7ccccc7.[O-][S](=O)(=O)c8ccccc8
CYCLOSPORINE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
NEOMYCIN SULFATE,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](OC4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O
LEUPROLIDE ACETATE,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C(Cc5[nH]cnc5)NC(=O)C6CCC(=O)N6.CC(O)=O
EVANS BLUE,[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C\2C=Cc3c(cc(c(N)c3C2=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C\5C=Cc6c(cc(c(N)c6C5=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4
TRYPAN BLUE,[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C/2C(=O)c3c(N)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4
PIMECROLIMUS,CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(C)=C\[C@@H]4CC[C@H](Cl)[C@@H](C4)OC
GONADORELIN HYDROCHLORIDE,[H+].[Cl-].CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NCC(N)=O
AMIKACIN SULFATE,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O.O[S](O)(=O)=O.O[S](O)(=O)=O
RIFAPENTINE,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)\C)C(=C/NN5CCN(CC5)C6CCCC6)\C(=O)c4c3C2=O)O
GONADORELIN ACETATE,O.CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NCC(N)=O.CC(O)=O
ROSUVASTATIN CALCIUM,[Ca++].CC(C)c1nc(nc(c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)[S](C)(=O)=O.CC(C)c3nc(nc(c4ccc(F)cc4)c3/C=C/[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)[S](C)(=O)=O
TACROLIMUS,CO[C@@H]1C[C@@H](CC[C@H]1O)/C=C(C)/[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)CC(=C/[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)/C)OC)[C@H](C[C@H]4C)OC
OXYTOCIN,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O
SARALASIN ACETATE,O.CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2[nH]cnc2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](C)C(O)=O.CC(O)=O
PAROMOMYCIN SULFATE,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)C(O[C@@H]2CO)O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)C3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)[C@H](N)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O
RIFABUTIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(=C5NC6(CCN(CC6)CC(C)C)N=C5c4c3C2=O)NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C
VINCRISTINE SULFATE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1.O[S](O)(=O)=O
POLYMYXIN B SULFATE,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O.O[S](O)(=O)=O
TELITHROMYCIN,CC[C@H]1OC(=O)[C@@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(c4)c5cccnc5)C(=O)O[C@]13C)OC
ACARBOSE,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@@H]2CO)O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@H](O)[C@H](O)[C@H]4O
VINBLASTINE SULFATE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1.O[S](O)(=O)=O
ATRACURIUM BESYLATE,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC.[O-][S](=O)(=O)c7ccccc7.[O-][S](=O)(=O)c8ccccc8
DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C
HEPARIN SODIUM,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O
RIFAXIMIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)c5n6ccc(C)cc6nc5c4c3C2=O
OCTREOTIDE ACETATE,C[C@@H](O)[C@@H](CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc4c[nH]c5ccccc45)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1.CC(O)=O.CC(O)=O
CEFMENOXIME HYDROCHLORIDE,[Cl-].CO\N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3nnnn3C)\c4csc(N)n4.CO\N=C(C(=O)N[C@H]5[C@H]6SCC(=C(N6C5=O)C(O)=O)CSc7nnnn7C)\c8csc(N)n8.[H+]
MIVACURIUM CHLORIDE,[Cl-].[Cl-].COc1cc2CC[N+](C)(CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]3(C)CCc4cc(OC)c(OC)cc4[C@H]3Cc5cc(OC)c(OC)c(OC)c5)[C@H](Cc6cc(OC)c(OC)c(OC)c6)c2cc1OC
CHLORHEXIDINE GLUCONATE,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
PENICILLIN G BENZATHINE,O.O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O.CC4(C)S[C@@H]5[C@H](NC(=O)Cc6ccccc6)C(=O)N5[C@H]4C(O)=O.C(CNCc7ccccc7)NCc8ccccc8
SINCALIDE,CSCCC(NC(=O)C(Cc1ccc(O[S](O)(=O)=O)cc1)NC(=O)C(N)CC(O)=O)C(=O)NCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCSC)C(=O)NC(CC(O)=O)C(=O)NC(Cc4ccccc4)C(N)=O
LANREOTIDE ACETATE,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CSSCC(NC1=O)C(=O)NC(C(C)O)C(N)=O)NC(=O)C(N)Cc5ccc6ccccc6c5.CC(O)=O
MANGAFODIPIR TRISODIUM,[H+].[H+].[H+].[Na+].[Na+].[Na+].[Mn++].Cc1ncc(CO[P]([O-])([O-])=O)c(CN(CCN(CC([O-])=O)Cc2c(CO[P]([O-])([O-])=O)cnc(C)c2[O-])CC([O-])=O)c1[O-]
DESMOPRESSIN ACETATE,O.O.O.CC(O)=O.NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc3ccc(O)cc3)NC(=O)CCSSCC(NC(=O)C(CC(N)=O)NC1=O)C(=O)N4CCCC4C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O
GADOPENTETATE DIMEGLUMINE,[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
PIPECURONIUM BROMIDE,[Br-].[Br-].CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(C)=O)N5CC[N+](C)(C)CC5)[C@@]2(C)C[C@@H]1N6CC[N+](C)(C)CC6
GADOFOSVESET TRISODIUM,O.[Na+].[Na+].[Na+].[Gd+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)C[C@H](CO[P]([O-])(=O)OC1CCC(CC1)(c2ccccc2)c3ccccc3)N(CC([O-])=O)CC([O-])=O
NYSTATIN,CC1OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)CC(=O)CC(O)C(C(O)CC(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)\C=C\C=C\C=C\C=C\CC/C=C/C=C/C(C)C(O)C1C)C(O)=O
KANAMYCIN SULFATE,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O
PITAVASTATIN CALCIUM,[Ca++].O[C@H](C[C@H](O)/C=C/c1c(nc2ccccc2c1c3ccc(F)cc3)C4CC4)CC([O-])=O.O[C@H](C[C@H](O)/C=C/c5c(nc6ccccc6c5c7ccc(F)cc7)C8CC8)CC([O-])=O
DOXACURIUM CHLORIDE,[Cl-].[Cl-].COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC
PANCURONIUM BROMIDE,[Br-].[Br-].CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(C)=O)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1[N+]6(C)CCCCC6
MOXIDECTIN,CO\N=C\1C[C@]2(C[C@@H]3C[C@@H](C\C=C(/C)C[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O3)[C@]45O)C)O2)OC([C@H]1C)C(/C)=C/C(C)C
PIMAVANSERIN TARTRATE,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C3CCN(C)CC3)cc1.CC(C)COc4ccc(CNC(=O)N(Cc5ccc(F)cc5)C6CCN(C)CC6)cc4.O[C@H]([C@@H](O)C(O)=O)C(O)=O
QUINIDINE SULFATE,O.O.COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1.COc5ccc6nccc([C@H](O)[C@H]7C[C@@H]8CCN7C[C@@H]8C=C)c6c5.O[S](O)(=O)=O
LYPRESSIN,NCCCCC(NC(=O)C1CCCN1C(=O)C2CSSCC(N)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(Cc4ccccc4)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N2)C(=O)NCC(N)=O
TRABECTEDIN,COc1cc2c(CCN[C@]23CS[C@H]4[C@H]5[C@@H]6N(C)[C@@H](Cc7cc(C)c(OC)c(O)c67)[C@H](O)N5[C@@H](COC3=O)c8c9OCOc9c(C)c(OC(C)=O)c48)cc1O
TECHNETIUM TC-99M SESTAMIBI KIT,[99Tc].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-]
BROMOCRIPTINE MESYLATE,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C.C[S](O)(=O)=O
IOTROLAN,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c2c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c2I
MECLOCYCLINE SULFOSALICYLATE,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O.OC(=O)c5cc(ccc5O)[S](O)(=O)=O
QUININE SULFATE,O.O.COc1ccc2nccc([C@@H](O)[C@@H]3CC4CCN3C[C@@H]4C=C)c2c1.COc5ccc6nccc([C@@H](O)[C@@H]7CC8CCN7C[C@@H]8C=C)c6c5.O[S](O)(=O)=O
SAQUINAVIR MESYLATE,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4.C[S](O)(=O)=O
VECURONIUM BROMIDE,[Br-].CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(C)=O)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1N6CCCCC6
ATAZANAVIR SULFATE,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O[S](O)(=O)=O
UROFOLLITROPIN,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(NC1=O)C(C)O)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(N)=O
VALRUBICIN,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c3c(O)c4C(=O)c5c(OC)cccc5C(=O)c4c(O)c3C1
RAPACURONIUM BROMIDE,[Br-].CCC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCCCC5)[N+]6(CCCCC6)CC=C
BRILLIANT BLUE G,[Na+].CCOc1ccc(Nc2ccc(cc2)[C+](c3ccc(cc3C)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccc(cc5C)N(CC)Cc6cccc(c6)[S]([O-])(=O)=O)cc1
DIHYDROERGOTAMINE MESYLATE,CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O.C[S](O)(=O)=O
LAPATINIB DITOSYLATE,O.Cc1ccc(cc1)[S](O)(=O)=O.Cc2ccc(cc2)[S](O)(=O)=O.C[S](=O)(=O)CCNCc3oc(cc3)c4ccc5ncnc(Nc6ccc(OCc7cccc(F)c7)c(Cl)c6)c5c4
FORMOTEROL FUMARATE,O.COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.COc3ccc(C[C@@H](C)NC[C@H](O)c4ccc(O)c(NC=O)c4)cc3.OC(=O)\C=C\C(O)=O
CALCIUM GLUCEPTATE,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C([O-])=O
